file_idx,file_number,detail,budget,company,materials,title,description,content
1,01- (1),Assembly,0.00,THE ENGINEER,Ass'Y,식물성 계란 생산 장비 노른자 투입조,Assembly (조립품),식물성 계란 생산 장비 노른자 투입조 Assembly (조립품) Plant-based Egg Production Equipment Yolk Injection Hopper
2,01- (2),Assembly,"3,000,000.00",THE ENGINEER,Ass'Y,식물성 계란 생산 장비 몰드지그,Assembly (조립품),식물성 계란 생산 장비 몰드지그 Assembly (조립품) Plant-based Egg Production Equipment Mold Jig
3,01- (3),Component,"15,681.00",THE ENGINEER,Stainless Steels,식물성 계란 생산 장비 노른자 투입조,"Plate (플레이트, 판재)","식물성 계란 생산 장비 노른자 투입조 Plate (플레이트, 판재) Plant-based Egg Production Equipment Yolk Injection Hopper"
4,01- (4),Component,"185,833.00",THE ENGINEER,Stainless Steels,식물성 계란 생산 장비 노른자 투입조,"Plate (플레이트, 판재)","식물성 계란 생산 장비 노른자 투입조 Plate (플레이트, 판재) Plant-based Egg Production Equipment Yolk Injection Hopper"
5,01- (5),Assembly,0.00,THE ENGINEER,Ass'Y,식물성 계란 생산 장비 노른자 투입조,Assembly (조립품),식물성 계란 생산 장비 노른자 투입조 Assembly (조립품) Plant-based Egg Production Equipment Yolk Injection Hopper
6,01- (6),Component,"23,000.00",THE ENGINEER,Stainless Steels,식물성 계란 생산 장비 노른자 트레이,"Plate (플레이트, 판재)","식물성 계란 생산 장비 노른자 트레이 Plate (플레이트, 판재) Plant-based Egg Production Equipment Yolk Tray"
7,01- (7),Component,0.00,THE ENGINEER,etc,식물성 계란 생산 장비 노른자 트레이,"Plate (플레이트, 판재)","식물성 계란 생산 장비 노른자 트레이 Plate (플레이트, 판재) Plant-based Egg Production Equipment Yolk Tray"
8,01- (8),Component,0.00,THE ENGINEER,etc,식물성 계란 생산 장비 노른자 트레이,기타 (etc),식물성 계란 생산 장비 노른자 트레이 기타 (etc) Plant-based Egg Production Equipment Yolk Tray
9,01- (9),Component,"88,905.00",THE ENGINEER,Stainless Steels,식물성 계란 생산 장비 노른자 투입조,"Plate (플레이트, 판재)","식물성 계란 생산 장비 노른자 투입조 Plate (플레이트, 판재) Plant-based Egg Production Equipment Yolk Injection Hopper"
10,01- (10),Component,0.00,THE ENGINEER,Carbon Steels,식물성 계란 생산 장비 도킹부,기타 (etc),식물성 계란 생산 장비 도킹부 기타 (etc) Plant-based Egg Production Equipment Docking Station
