Material,비중
UHMW-PE,0.93
PE (Polyethylene),0.95
AL5052,2.68
AL5051,2.68
A6063S-T5,2.7
A6061,2.71
AL6061,2.71
AL PROFILE,2.71
A6061-T6,2.71
AL6061-T6,2.71
A6061-T7,2.71
"4040, 4080",2.71
A2017,2.8
S40계열,7.85
SS41,7.85
SS400,7.85
S'Q PIPE,7.85
SS400 / 6T BENDI,7.85
SS400 / 4.5T,7.85
SS400 / 2.3T,7.85
S'Q PIPE / SS400,7.85
SS400 / 3.2T,7.85
SS400 / 1.6T BEN,7.85
SS400 / 1.6T,7.85
SS400 / 5T,7.85
SS400 / 0.3T,7.85
SS400/ 3.2T,7.85
"SS400 / 3,2T",7.85
SS400 / 1.2T,7.85
SS401,7.85
S45C,7.9
베어링 강,7.9
SM45C,7.9
SUS316L,7.9
SUS304,7.93
STS304,7.93
STS304 / 2T,7.93
SUS304 / 3T,7.93
무정전 P.C / 5T,1200
무정전 P.C / 4T,1200
무정전 PC,1200
PUR,1200
무정전PC,1200
PUR.,1200
PC(투명),1200
흑색고무,1200
무정전 투명PC,1200
무정전투명PC,1200
MC 나일론,1300
MC,1300
MC NYLON,1300
PVC(투명),1400
아세탈(백Tel),1410
URETHAN,1500
URETHRAN,1500
우레탄,1500
테프론,2400
폴리싱,10000000
SUSPOLY,10000000
SUSPOLY_304,10000000
